加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
1, 4, 9692,9874, 182
147, 6, 10603,10785, 182
103, 3, 11346,11801, 455
80, 4, 9947,10129, 182
100, 2, 11949,12404, 455
33, 2, 12454,12909, 455
3, 7, 12358,12813, 455
66, 5, 11756,12211, 455
151, 4, 10228,10410, 182
108, 1, 10648,11103, 455
104, 2, 12959,13414, 455
169, 4, 10492,10674, 182
161, 7, 12904,13359, 455
210, 5, 12288,12743, 455
120, 4, 10774,10956, 182
125, 6, 10867,11049, 182
21, 8, 8686,8868, 182
116, 8, 8918,9100, 182
128, 3, 11892,12347, 455
41, 8, 9210,9392, 182
93, 6, 11131,11313, 182
160, 8, 9542,9724, 182
97, 4, 11243,11425, 182
87, 5, 12820,13275, 455
184, 8, 9819,10001, 182
130, 1, 11173,11628, 455
113, 4, 11507,11689, 182
208, 6, 11428,11610, 182
73, 8, 10083,10265, 182
185, 4, 11785,11967, 182
135, 4, 12017,12199, 182
75, 1, 11705,12160, 455
194, 6, 11859,12041, 182
94, 4, 12281,12463, 182
136, 8, 11852,12034, 182
83, 4, 12559,12741, 182
204, 6, 12123,12305, 182
206, 6, 12355,12537, 182
144, 6, 12587,12769, 182
103, 8, 12116,12298, 182
128, 8, 12397,12579, 182
141, 4, 12837,13019, 182
157, 7, 13450,13905, 455
164, 8, 12637,12819, 182
27, 6, 12851,13033, 182
167, 1, 12251,12706, 455
197, 8, 12894,13076, 182
152, 4, 13115,13297, 182
111, 5, 13352,13807, 455
86, 6, 13083,13265, 182
20, 8, 13165,13347, 182
157, 8, 13955,14137, 182
170, 6, 13347,13529, 182
56, 3, 12435,12890, 455
95, 3, 12935,13390, 455
186, 4, 13347,13529, 182
111, 6, 13889,14071, 182
119, 6, 14121,14303, 182
100, 8, 14219,14401, 182
143, 1, 12776,13231, 455
104, 4, 13611,13793, 182
74, 8, 14497,14679, 182
40, 4, 13985,14167, 182
6, 3, 13435,13890, 455
77, 2, 13517,13972, 455
192, 3, 13967,14422, 455
143, 8, 14775,14957, 182
8, 8, 15007,15189, 182
3, 6, 14385,14567, 182
102, 1, 13322,13777, 455
53, 5, 13898,14353, 455
10, 3, 14499,14954, 455
61, 5, 14462,14917, 455
191, 7, 14032,14487, 455
201, 4, 14263,14445, 182
61, 6, 14999,15181, 182
138, 1, 13868,14323, 455
46, 8, 15264,15446, 182
142, 3, 15098,15553, 455
198, 3, 15598,16053, 455
26, 4, 14512,14694, 182
180, 4, 14744,14926, 182
102, 8, 15542,15724, 182
23, 6, 15263,15445, 182
68, 2, 14081,14536, 455
36, 5, 15008,15463, 455
70, 7, 14574,15029, 455
168, 3, 16144,16599, 455
108, 4, 14976,15158, 182
54, 4, 15208,15390, 182
140, 1, 14462,14917, 455
64, 7, 15099,15554, 455
78, 2, 14649,15104, 455
156, 5, 15554,16009, 455
177, 5, 16054,16509, 455
75, 4, 15472,15654, 182
38, 4, 15704,15886, 182
71, 2, 15186,15641, 455
68, 4, 15968,16150, 182
69, 1, 15053,15508, 455
52, 2, 15691,16146, 455
39, 2, 16196,16651, 455
196, 1, 15587,16042, 455
122, 1, 16087,16542, 455
24, 7, 15668,16123, 455
140, 8, 15774,15956, 182
145, 6, 15554,15736, 182
109, 7, 16200,16655, 455
81, 2, 16726,17181, 455
158, 8, 16043,16225, 182
33, 8, 16275,16457, 182
101, 5, 16586,17041, 455
55, 7, 16732,17187, 455
10, 4, 16292,16474, 182
57, 1, 16619,17074, 455
19, 3, 16696,17151, 455
168, 8, 16715,16897, 182
115, 7, 17232,17687, 455
70, 6, 15856,16038, 182
56, 4, 16556,16738, 182
34, 3, 17196,17651, 455
52, 6, 16278,16460, 182
191, 6, 16510,16692, 182
138, 4, 16820,17002, 182
142, 8, 16993,17175, 182
60, 2, 17256,17711, 455
166, 2, 17761,18216, 455
15, 5, 17132,17587, 455
173, 5, 17632,18087, 455
31, 7, 17764,18219, 455
192, 4, 17098,17280, 182
63, 1, 17175,17630, 455
96, 2, 18266,18721, 455
105, 5, 18178,18633, 455
129, 7, 18296,18751, 455
19, 8, 17246,17428, 182
134, 8, 17478,17660, 182
24, 6, 16808,16990, 182
124, 8, 17742,17924, 182
98, 3, 17833,18288, 455
188, 2, 18803,19258, 455
78, 4, 17362,17544, 182
163, 7, 18842,19297, 455
64, 8, 17974,18156, 182
187, 1, 17702,18157, 455
30, 8, 18231,18413, 182
31, 8, 18463,18645, 182
11, 1, 18248,18703, 455
167, 6, 17089,17271, 182
36, 6, 17321,17503, 182
159, 3, 18365,18820, 455
203, 5, 18710,19165, 455
131, 5, 19210,19665, 455
55, 6, 17553,17735, 182
177, 6, 17785,17967, 182
43, 3, 18897,19352, 455
121, 4, 17603,17785, 182
130, 6, 18049,18231, 182
79, 5, 19710,20165, 455
162, 3, 19429,19884, 455
182, 7, 19388,19843, 455
198, 4, 17929,18111, 182
16, 1, 18780,19235, 455
155, 4, 18260,18442, 182
171, 2, 19340,19795, 455
161, 4, 18545,18727, 182
187, 6, 18348,18530, 182
7, 6, 18580,18762, 182
17, 5, 20210,20665, 455
118, 1, 19326,19781, 455
82, 2, 19845,20300, 455
109, 4, 18885,19067, 182
101, 6, 18885,19067, 182
132, 5, 20710,21165, 455
6, 4, 19149,19331, 182
81, 4, 19381,19563, 182
139, 7, 19934,20389, 455
4, 8, 18695,18877, 182
39, 6, 19149,19331, 182
115, 8, 18979,19161, 182
188, 6, 19413,19595, 182
199, 7, 20466,20921, 455
156, 8, 19260,19442, 182
58, 8, 19492,19674, 182
210, 8, 19724,19906, 182
69, 4, 19659,19841, 182
154, 3, 19929,20384, 455
57, 4, 19895,20077, 182
90, 1, 19922,20377, 455
59, 4, 20159,20341, 182
63, 6, 19741,19923, 182
196, 4, 20423,20605, 182
173, 8, 20030,20212, 182
77, 8, 20262,20444, 182
95, 6, 20016,20198, 182
90, 6, 20427,20609, 182
105, 8, 20526,20708, 182
50, 5, 21242,21697, 455
71, 8, 20792,20974, 182
11, 8, 21024,21206, 182
162, 8, 21256,21438, 182
82, 4, 20701,20883, 182
131, 6, 20691,20873, 182
17, 4, 20965,21147, 182
53, 4, 21197,21379, 182
122, 4, 21429,21611, 182
87, 6, 20955,21137, 182
60, 8, 21520,21702, 182
96, 4, 21707,21889, 182
89, 1, 20500,20955, 455
166, 8, 21777,21959, 182
203, 6, 21279,21461, 182
50, 8, 22041,22223, 182
132, 6, 21602,21784, 182
106, 2, 20396,20851, 455
43, 8, 22298,22480, 182
106, 4, 21985,22167, 182
66, 4, 22217,22399, 182
163, 6, 21866,22048, 182
79, 8, 22562,22744, 182
28, 6, 22130,22312, 182
182, 6, 22362,22544, 182
98, 6, 22594,22776, 182
176, 6, 22826,23008, 182
118, 6, 23058,23240, 182
91, 5, 21752,22207, 455
32, 2, 20947,21402, 455
159, 4, 22481,22663, 182
37, 4, 22713,22895, 182
76, 3, 20468,20923, 455
48, 3, 20968,21423, 455
153, 7, 21059,21514, 455
129, 4, 22991,23173, 182
91, 8, 22922,23104, 182
92, 3, 21520,21975, 455
49, 3, 22020,22475, 455
34, 6, 23322,23504, 182
12, 2, 21525,21980, 455
112, 5, 22298,22753, 455
16, 4, 23255,23437, 182
171, 4, 23487,23669, 182
153, 4, 23719,23901, 182
183, 2, 22123,22578, 455
76, 8, 23179,23361, 182
92, 8, 23411,23593, 182
112, 8, 23643,23825, 182
146, 1, 21094,21549, 455
48, 4, 23983,24165, 182
15, 6, 23586,23768, 182
12, 6, 23818,24000, 182
89, 8, 23907,24089, 182
146, 4, 24261,24443, 182
199, 8, 24185,24367, 182
205, 1, 21672,22127, 455
49, 6, 24096,24278, 182
149, 7, 21597,22052, 455
172, 3, 22566,23021, 455
32, 8, 24463,24645, 182
205, 4, 24559,24741, 182
149, 6, 24360,24542, 182
183, 6, 24592,24774, 182
172, 6, 24824,25006, 182
139, 4, 24823,25005, 182
154, 8, 24741,24923, 182
